phrasal_verb,example,predicted_meaning
wash away,Heavy rains have washed away the bridge.,"if something such as rain or a river washes something away, it carries it away"
wash away,In reality it was an expensive disaster and the all-weather gallop was virtually washed away in a rain storm.,"if something such as rain or a river washes something away, it carries it away"
wash away,It had been washed away by rain the next morning.,"if something such as rain or a river washes something away, it carries it away"
wash away,It is barely four years since Qatar's big moment was washed away in torrential rain.,"if something such as rain or a river washes something away, it carries it away"
wash away,"It would have been brushed off by street cleaners, kicked away by pedestrians or simply washed away in the rain.","if something such as rain or a river washes something away, it carries it away"
wash away,Narrow terraces have to be carved out of hillsides so steep that particularly heavy monsoon rains sometimes wash away entire strips of farmland.,"if something such as rain or a river washes something away, it carries it away"
wash away,Then unexpected rains washed away the grit and a cold snap froze the roads into sheets of ice.,"if something such as rain or a river washes something away, it carries it away"
wash away,"They were comfortably the better team over both matches, including a second leg in which the poison was washed away by teeming rain.","if something such as rain or a river washes something away, it carries it away"
wash away,"This is due to exposure to sunlight, caused when rain washes away the soil from around the plants.","if something such as rain or a river washes something away, it carries it away"
wash away,"This temporary artwork was designed to be washed away by rain, but some locals were still outraged.","if something such as rain or a river washes something away, it carries it away"
wash down,Baxter accepted a teaspoonful of sherry to wash down another antacid tablet and Short declined.,to wash the whole surface of something
wash down,He had a large slice of pizza washed down with beer.,to wash the whole surface of something
wash down,"His cider was gone in a flash, so he ordered a second one to wash down a couple of Scotch eggs.",to wash the whole surface of something
wash down,"They wash down the choppers with a hose, but they can't get rid of the stench.",to wash the whole surface of something
wash down,Use hot water and detergent to wash down kitchen worktops.,"to drink something after putting food or medicine in your mouth, especially so that you can swallow more easily"
wash off,Don’t worry about the dirty marks. They’ll wash off easily.,"if you wash dirt off something, or if dirt washes off, you remove it by washing"
wash off,Wash all the soil off before you cook the potatoes.,"if you wash dirt off something, or if dirt washes off, you remove it by washing"
wash out,"""I should make you wash out your mouth with soap, that's what I should do,"" Angel said.","to wash something quickly, especially the inside of a container"
wash out,All the colour has washed out of these old curtains.,"to wash something quickly, especially the inside of a container"
wash out,Don’t you ever wash out your coffee cups?,"to wash something quickly, especially the inside of a container"
wash out,It looked like the first game of the season would be washed out.,"to wash something quickly, especially the inside of a container"
wash out,It seemed to clear my lungs and wash out the anxiety and the heaviness I felt in my body.,"to wash something quickly, especially the inside of a container"
wash out,Permanent dyes won’t wash out.,"to wash something quickly, especially the inside of a container"
wash out,Then he'd drink and wash out his sock and bathe his wrists where the thongs had cut.,"to wash something quickly, especially the inside of a container"
wash out,"Theo took the rice off the heat, and showed me how to wash out the starch, then he put it back on the flame.","to wash something quickly, especially the inside of a container"
wash up,He stays out for four days solid and eventually washes up at his brother’s house.,"if someone washes up somewhere, they arrive there unexpectedly after a long time"
wash up,I can help to cook and wash up.,"to wash yourself, especially your hands and face"
wash up,I’ll go wash up before we eat.,"if someone washes up somewhere, they arrive there unexpectedly after a long time"
wash up,"Martin offered to wash up, and I congratulated myself on my choice of house guests.","if someone washes up somewhere, they arrive there unexpectedly after a long time"
wash up,Some of the oil has washed up on a neighbouring island.,"if someone washes up somewhere, they arrive there unexpectedly after a long time"
wash up,The breakfast things haven’t been washed up yet.,"if someone washes up somewhere, they arrive there unexpectedly after a long time"
wash up,Two whales have been washed up on the beach.,"if the sea washes something up somewhere, it carries it and leaves it there"
wash up,"When the coffee was finished, he offered to help wash up, accepted her refusal with grace, let her bring his coat.","if someone washes up somewhere, they arrive there unexpectedly after a long time"
wash up,"`I've got you, under my sink...' I heard Theo croon as he began to wash up.","if someone washes up somewhere, they arrive there unexpectedly after a long time"
watch for,Watch for Ryan. He’s here somewhere.,to pay attention so that you will see something when it arrives or happens
watch for,We watched for dolphins jumping on the horizon.,to pay attention so that you will see something when it arrives or happens
watch out,"She smiled then, the long, curling smile he had learned to watch out for.",to be careful
watch out,"Then you tell her watch out, the boogie man is going to get her.",to be careful
watch out,Watch out – you’re going to hit that car!,to be careful
watch out,You could have a nasty accident if you don’t watch out.,to be careful
watch out,You just didn't know the potential pitfalls to watch out for.,to be careful
watch out,"You're gonna get yourself in trouble, girl, if you don't watch out.",to be careful
watch out for,People in my family have always watched out for one another.,same as watch
watch out for,Watch out for big discounts and clearance sales at this time of the year.,to make sure that nothing bad happens to someone
watch out for,Watch out for snakes!,same as watch
watch out for,We will be discussing street crime and what you should watch out for.,to make sure that nothing bad happens to someone
watch over,I watched over her to make sure she was safe.,"to guard, protect, or be in charge of someone or something"
watch over,I will be watching over you and making sure you make the right choices.,"to guard, protect, or be in charge of someone or something"
watch over,Soldiers arrived to watch over the city and maintain peace.,"to guard, protect, or be in charge of someone or something"
water down,Just wait till the Argentinians blow you out of the water down there in the South Atlantic.,to add water to a drink or liquid in order to make it less strong
water down,Now have to invite several others to water down the Geraldine/ Roger effect.,to add water to a drink or liquid in order to make it less strong
water down,"Shorty lounged by the fire, and he laughed as she snatched it up and poured the thin stream of water down her throat.",to add water to a drink or liquid in order to make it less strong
water down,Some of the more forthright sections were watered down by the editors.,to add water to a drink or liquid in order to make it less strong
water down,"The strongest belief will always win, but doubts can water down any belief such that it isn't very effective.",to add water to a drink or liquid in order to make it less strong
wave aside,"Whenever I mention finances, he just waves aside my concerns.","to ignore someone’s ideas, feelings, or opinions because you do not think they are important"
wave down,When they reached Newgate Street the Countess stuck out her hand to wave down a hackney carriage.,to make a vehicle stop by waving your arm or hand at the driver
wave down,passed surging and receding like a long wave down the street.,to make a vehicle stop by waving your arm or hand at the driver
wave off,She stood at the gate and waved her children off to school.,to say goodbye to someone by waving as they leave
wave through,Most countries have waved the legislation through.,to make a signal with your hand that shows you are allowing a person or vehicle to go through a gate or other entrance
wave through,The policeman on duty waved me through.,to make a signal with your hand that shows you are allowing a person or vehicle to go through a gate or other entrance
wean off,We’re trying to wean ourselves off watching too much television.,"to make someone gradually stop depending on something that they like and have become used to, especially a drug or a bad habit"
wean on,"The daughter of a musician, she was weaned on classical music.",to make someone get used to something when they are young
wear away,The grass has been worn away by cars.,"to disappear, or to make something disappear, because it has been used or rubbed a lot"
wear away,The inscription on the ring had almost worn away.,"to disappear, or to make something disappear, because it has been used or rubbed a lot"
wear down,A ghost's foot doesn't trample grass or wear down the ground like this.,to make someone gradually lose their energy or confidence
wear down,Slowly he wore his opponent down.,to make someone gradually lose their energy or confidence
wear down,The old stone steps had been worn down by years of use.,to make someone gradually lose their energy or confidence
wear down,They were worn down by the stress of feeding five children.,to make someone gradually lose their energy or confidence
wear down,"When Jill rose again she knew that this time she'd have the raven, just as a falcon will, in the end, wear down the wiliest of birds.",to make someone gradually lose their energy or confidence
wear in,It’s always so painful wearing in new shoes.,"if you wear in something such as a pair of shoes, you wear them until they fit your feet better and are more comfortable"
wear off,I got bored with the job once the novelty wore off.,"if a feeling wears off, it gradually disappears"
wear off,"It might wear off, of course, but until it does, it's silly to leave all my gear lying around for some passing rambler to nick.","if a feeling wears off, it gradually disappears"
wear off,"Nevertheless, I was conscious that the novelty of these journeys was beginning to wear off.","if a feeling wears off, it gradually disappears"
wear off,"The drug began to wear off; Hay-soos's voice was louder, yelling, cursing.","if a feeling wears off, it gradually disappears"
wear off,The numbness in his shoulder was starting to wear off.,"if a feeling wears off, it gradually disappears"
wear off,"They were both well aware that when Cynsters married, the novelty did not, strange as it seemed, wear off at all.","if a feeling wears off, it gradually disappears"
wear on,My headache grew worse as the evening wore on.,"if time wears on, it passes"
wear on,Your constant complaining is really wearing on me.,"if something wears on you, it is annoying, and makes you tired"
wear out,Arguing with that kind of shrewdness was just going to wear out my tonsils.,to make someone feel very tired
wear out,"But you can wear out someone's love, Harry, just like you can wear out anything else.",to make someone feel very tired
wear out,He’d long since worn out the knees in his old jeans.,to make someone feel very tired
wear out,"Jack and Doris have been terrific about inviting me to dinner, but I don't want to wear out my welcome.",to make someone feel very tired
wear out,She was worn out from looking after her elderly mother.,to make someone feel very tired
wear out,The children have all worn out their shoes.,to make someone feel very tired
wear out,The rear tyres had worn out.,to make someone feel very tired
wear out,You need a holiday or you’ll wear yourself out.,to make someone feel very tired
wear out,"`Oh, we don't want to wear out our welcome,"" said Nancy, smiling.",to make someone feel very tired
weary of,I soon wearied of his endless chatter.,to become tired of something or bored with it
weasel out,She was a shrewd woman who could weasel her way out of anything,"to back out of a situation or a commitment, usually in a sneaky way"
weasel out of,She was a shrewd woman who could weasel her way out of anything,"to back out of a situation or a commitment, usually in a sneaky way"
weed out,And having to weed out delinquents of all ages and sizes from the Saturday night hop was the straw that broke the camel's back.,"to remove a person or thing that is not suitable or good enough, especially from a group or collection"
weed out,It might just help to weed out the parasites from the genuine cases.,"to remove a person or thing that is not suitable or good enough, especially from a group or collection"
weed out,"Take out the women and kids, weed out the old men, and how many have you still got lett?","to remove a person or thing that is not suitable or good enough, especially from a group or collection"
weed out,We need a process that weeds out corrupt police officers.,"to remove a person or thing that is not suitable or good enough, especially from a group or collection"
weigh down,Duplicates of applications and identification papers weigh down my hands.,"to cause problems for someone or something, or to make someone worried"
weigh down,If you weigh yourself down you’ll get very tired.,"to cause problems for someone or something, or to make someone worried"
weigh down,The waiters were weighed down by huge trays of food.,"to cause problems for someone or something, or to make someone worried"
weigh down,They were looking for the odd escudo to weigh down the damp pockets creeping up their thighs.,"to cause problems for someone or something, or to make someone worried"
weigh down,Wall Street has been weighed down by economic uncertainty.,"to cause problems for someone or something, or to make someone worried"
weigh in,"""This is part of what you must weigh in your decision to join us or not.",to become involved in something
weigh in,Bowen weighed in at 241 pounds.,to become involved in something
weigh in,I just wanted to weigh in with some comments.,to become involved in something
weigh in,The smallest are the tiny pygmy parrots of New Guinea that weigh in at just 10 grams -- about the size of a wren or kinglet.,to become involved in something
weigh in,Then you can weigh in with your recollection of the Heidelberg case.,to become involved in something
weigh in,Would she kindly report to the weigh-in room at her convenience?,to become involved in something
weigh into,The Institute of Directors has weighed into the campaign.,to become involved in something such as a discussion in an enthusiastic way
weigh into,The organization weighed into companies for not making these conditions clear to clients.,to become involved in something such as a discussion in an enthusiastic way
weigh on,The decision to move has been weighing heavily on Eric’s mind.,"to cause problems for someone or something, or to make someone worried"
weigh on,The high price of property weighs heavily on many businesses.,"to cause problems for someone or something, or to make someone worried"
weigh on,The responsibility of her new job had begun to weigh on her.,"to cause problems for someone or something, or to make someone worried"
weigh out,"He weighed out every portion of sugar, flour, and dried fruit.",to measure an exact amount of something
weigh up,Before buying weigh up the advantages and disadvantages of each type.,to consider the good and bad aspects of something in order to reach a decision about it
weigh up,Marlette knew there wasn't time to weigh up the situation.,to consider the good and bad aspects of something in order to reach a decision about it
weigh up,"These great flightless parrots, camouflaged so they resemble a huge ball of moss, can weigh up to 3 kilos.",to consider the good and bad aspects of something in order to reach a decision about it
weird out,"Stop it, you're weirding me out!",to make someone feel strange
wheel around,She wheeled around and glared at me.,to turn around quickly where you are standing
wheel out,They still wheel her out at every party conference.,"to show people something new, or to make something new available, for the first time"
wheel out,Unix is wheeling out its new system next week.,"to show people something new, or to make something new available, for the first time"
while away,How does your cat like to while away the time?,to spend time in a relaxed way when you have nothing else to do
while away,"I while away the time by taking the steward's advice to inspect the loos, which she says are all different.",to spend time in a relaxed way when you have nothing else to do
while away,"In the modern world, it is easy to dismiss art as a hedonistic and frivolous pursuit, a fun way to while away time on a rainy afternoon.",to spend time in a relaxed way when you have nothing else to do
while away,It's just a way to while away the time until you die.,to spend time in a relaxed way when you have nothing else to do
while away,The purpose of life is to while away the intervening time as pleasantly as possible.,to spend time in a relaxed way when you have nothing else to do
while away,The sort of app you can happily while away any free time with.,to spend time in a relaxed way when you have nothing else to do
while away,The women who are fleeing the stresses of the season at a health farm while away their time telling each other the stories of their lives.,to spend time in a relaxed way when you have nothing else to do
while away,"They wait up to an hour to get in, and while away the time taking photographs of themselves by the shop windows.",to spend time in a relaxed way when you have nothing else to do
while away,This sort of thing may be all very good in its way: one has to while away the time somehow.,to spend time in a relaxed way when you have nothing else to do
while away,We whiled away the Saturday afternoon sitting by the lake.,to spend time in a relaxed way when you have nothing else to do
whip into,The band whipped the audience into a frenzy.,to use strict methods to make someone do what you want them to do
whip into,The government wants to whip teachers into line.,to use strict methods to make someone do what you want them to do
whip through,Congress whipped through the budget discussions.,to do something very quickly
whip up,"""Yes,"" she said, but she didn't know how she could possibly whip up a speech.",to cause a strong reaction in other people
whip up,"But exactly as this happened he saw in front of him, in a scorched corner of the walls, a gust of hot wind suddenly whip up dirt and sand.",to cause a strong reaction in other people
whip up,"If not, those jackets will whip up and probably snap your neck as you hit the water.",to prepare something to eat very quickly
whip up,"If you’re hungry, I can whip us up some lunch.",to prepare something to eat very quickly
whip up,Newspaper articles have whipped up fears of the new tax policies.,to cause a strong reaction in other people
whip up,`But I intend to rescue you from starvation - I'm going to whip up a feast which you'll be quite unable to resist!,to prepare something to eat very quickly
whittle away,The government is whittling away at the rights of citizens.,to gradually reduce the amount or importance of something
whittle away,The team saw their lead whittled away during the second half.,to gradually reduce the amount or importance of something
whittle down,The list of 50 candidates was finally whittled down to four.,"to reduce the number of people or things, or the size of something"
whizz through,David whizzed through his homework before going out.,to do something very quickly and not very carefully
win back,A Heathrow airport worker who was sacked for wearing a nose stud has won back her job.,to get back something that you have lost
win back,All of us involved must work together to win back public confidence.,to get back something that you have lost
win back,Banks also have a long way to go to win back consumer confidence.,to get back something that you have lost
win back,DNA is highly regarded by the public and it gives you the best tools to fight doping and to win back public confidence.,to get back something that you have lost
win back,Everyone in the food industry has a big job ahead to win back the trust of consumers.,to get back something that you have lost
win back,He must woo you all over again to win back your trust.,to get back something that you have lost
win back,He takes charge of Man's books as the hedge fund battles to win back the confidence of investors.,to get back something that you have lost
win back,She admits: 'We know we have to work hard to win back support.,to get back something that you have lost
win back,She tried hard to win back his trust.,to get back something that you have lost
win back,That trust will be hard to win back.,to get back something that you have lost
win back,The row highlights the determination of the Government to pay down debt and win back investor confidence.,to get back something that you have lost
win back,"To have any effect, you must win back her confidence.",to get back something that you have lost
win back,"We are a party winning back people 's trust, regaining ground.",to get back something that you have lost
win back,We hope to win back the trophy we lost last year.,to get back something that you have lost
win back,We know we have to work hard to win back their support.,to get back something that you have lost
win back,With all the resources in the world it would be a slow job to win back the ground lost to deprivation and failure over the generations.,to get back something that you have lost
win out,"If she did not arrive soon, hunger was likely to win out over curiosity.",to succeed after great difficulty
win out,"It was a struggle, but truth won out in the end.",to succeed after great difficulty
win over,"After he was acquitted, it was suggested that he had won over a number of the female members of the jury with his charm.",to persuade someone to agree with you or to be friendly to you
win over,Also our win over Spain in the semis was a tremendous result for us.,to persuade someone to agree with you or to be friendly to you
win over,But I'd take a win over an assist.,to persuade someone to agree with you or to be friendly to you
win over,But he is still to win over fences.,to persuade someone to agree with you or to be friendly to you
win over,"Cole, though, is convinced he can still win over his many doubters.",to persuade someone to agree with you or to be friendly to you
win over,"Despite strong backing from the Government, the shale gas industry is struggling to win over public support.",to persuade someone to agree with you or to be friendly to you
win over,GfK might hope to win over shareholders with an offer only marginally above WPP's.,to persuade someone to agree with you or to be friendly to you
win over,Hanuman still hoped to win over the Society - this was the first of his hidden plans.,to persuade someone to agree with you or to be friendly to you
win over,He has also won over today's course and distance.,to persuade someone to agree with you or to be friendly to you
win over,He must also win over doubters on timing.,to persuade someone to agree with you or to be friendly to you
win over,He tried to win me round but I was still annoyed.,to persuade someone to agree with you or to be friendly to you
win over,He was green but still won over track and trip on debut.,to persuade someone to agree with you or to be friendly to you
win over,Her sassy raised eyebrow and head wiggle also won over the audience.,to persuade someone to agree with you or to be friendly to you
win over,I wish him all the best on his tour and hope he wins over a new generation of fans.,to persuade someone to agree with you or to be friendly to you
win over,"It also won over the fans, who had raised doubts about their big-money buy.",to persuade someone to agree with you or to be friendly to you
win over,It was set up for them with the run they were on and the incredible momentum they gained from the win over City at Anfield.,to persuade someone to agree with you or to be friendly to you
win over,It was still tough to win over friends and family.,to persuade someone to agree with you or to be friendly to you
win over,She is so small but still won over hurdles at Punchestown.,to persuade someone to agree with you or to be friendly to you
win over,"The foodie, whose erratic but enthusiastic moves have won over viewers, also admits that he has sometimes careered wildly off track.",to persuade someone to agree with you or to be friendly to you
win over,The mall has also managed to win over a new group to luxury goods.,to persuade someone to agree with you or to be friendly to you
win over,"To win over this support, it had to show that borrowing would be brought under control rapidly.",to persuade someone to agree with you or to be friendly to you
win over,Viewers who can resist the film's designs on their heartstrings might still be won over by its picture of a distant world.,to persuade someone to agree with you or to be friendly to you
win over,"WE'LL take a win over the world champions anywhere, any time and any how.",to persuade someone to agree with you or to be friendly to you
win over,We’ve finally won him over to our point of view.,to persuade someone to agree with you or to be friendly to you
wind down,"A second later the engines began to wind down, reverting to a preset power setting.","to end, or to finish something gradually"
wind down,After the mid-morning burst of activity Blackwell had begun to wind down towards dinner.,"to end, or to finish something gradually"
wind down,As though if they let themselves wind down they'd be out of the race against time.,"to end, or to finish something gradually"
wind down,The UN has decided to wind down the peacekeeping mission.,"to end, or to finish something gradually"
wind down,The factory will wind down production before closing next year.,"to end, or to finish something gradually"
wind down,The party started to wind down around 2.00 am.,"to end, or to finish something gradually"
wind down,"The visibility had improved slightly, maybe to three miles, the wind down to eight knots - a lazy, hazy day.","to end, or to finish something gradually"
wind down,Will you be winding down a bit by then?,"to end, or to finish something gradually"
wind up,At first I thought they were winding me up.,to end something
wind up,"Eventually, he closed his mouth, swallowed hard and said, `You're at the wind-up.",to end something
wind up,"He looked a little suspiciously at me, as if he wasn't certain whether or not I was at the wind-up.",to end something
wind up,He provides the continuity for this family and I will not have him treated as a wind-up toy.,to end something
wind up,Hell of a row but it was hushed up because the banks already had their wind up due to cost overruns.,same as wind
wind up,I’d like to wind up the meeting soon.,to end something
wind up,People are winding up in debt.,to trick someone by telling them something that is not true
wind up,Please don’t wind him up – he causes me enough trouble.,to end something
wind up,"Reduced sentence or not, he's still going to wind up in a Russian jail,"" Sabrina said.",to end something
wind up,"The firm was later wound up with debts of £104,000.",to end something
wind up,We wouldn't have wanted to wind up roasted on your dinner plate.,to end something
wind up,"You see, I thought I was going to wind up like my mother -- `",to end something
winkle out,We tried to winkle an apology out of them.,to try to make someone or something leave a place
wipe off,Nearly $20 billion was wiped off shares yesterday.,to reduce the value of something by a large amount
wipe out,"For the kind of money we're thinking about, they'd wipe out the whole of Olympia.",to make someone extremely tired
wipe out,How long before there would be enough humanity among men to wipe out forever the punishment of exile?,to kill someone
wipe out,How long did it take us to wipe out bison herds by the hundred million?,to kill someone
wipe out,Just wipe out the fridge with a damp cloth.,to clean the inside of something with a cloth
wipe out,"She leaned back against the wall, hands to her face, trying to wipe out the last few hours of her day.",to make someone extremely tired
wipe out,The early-morning meetings really wipe me out.,to make someone extremely tired
wise up,But a fresh reminder might make him wise up and lay low for a while.,"to learn or understand the truth about something, or to tell someone the truth about something"
wise up,I'm just saying that you should wise up to yourself a bit more.,"to learn or understand the truth about something, or to tell someone the truth about something"
wise up,Now when are you going to wise up and turn into an old cynic like me?,"to learn or understand the truth about something, or to tell someone the truth about something"
wise up,Some day the animal rescuers are going to wise up and buy those poor sheep some reading glasses.,"to learn or understand the truth about something, or to tell someone the truth about something"
wise up,When are they going to wise up to the fact that people aren’t interested?,"to learn or understand the truth about something, or to tell someone the truth about something"
wish away,I would like to wish away all my debts.,to make something stop or disappear just by expressing a wish
wish for,He could not have wished for a more pleasant holiday.,to want something
wish for,They do not wish for pity.,to want something
wish for,We know what she’ll be wishing for on her birthday.,to want something
wish for,What more could anyone wish for?,to want something
wish for,You couldn’t wish for a better friend.,to want something
witness to,Are you prepared to witness to the honesty of your informant?,"to formally state that something is true, especially in a court of law"
work around,A skilled craftsman can work around these difficulties.,to deal successfully with a person or problem that might prevent you from achieving your aim
work around to,She suspected that he had something important to say and could not work around to it.,"to gradually start to talk or write about a particular subject in a conversation or piece of writing, especially because it is embarrassing"
work at,"If she works at improving her game, she could be a champion.",to try hard to develop or improve something
work at,Successful relationships don’t just happen – you have to work at them.,to try hard to develop or improve something
work in,"A genuine rebel who could not deal with authority on any level, he had been put to work in Special Forces in Vietnam.","to mix one substance completely into another one, usually using your hands"
work in,"I'd been thinking about it, and I wasn't sure I wanted to work in advertising any longer.","to mix one substance completely into another one, usually using your hands"
work in,"If you can work in the word ‘objective’, that would be good.","to mix one substance completely into another one, usually using your hands"
work in,She can't work in the US Embassy with needle rash all over her.,"to mix one substance completely into another one, usually using your hands"
work in,They work a lot of Brazilian sounds and rhythms into their music.,"to mix one substance completely into another one, usually using your hands"
work in,With scarcely a word he took his female driver and mounted her with as much sensitivity as a bull at work in the farmyard.,"to mix one substance completely into another one, usually using your hands"
work off,"""Give me some old ID so I have something to work off of,"" the chicken man said.",to pay someone what you owe them by doing a job for them instead of giving them money
work off,I knew I wouldn't get to sleep if I didn't work off some of my excess energy.,to pay someone what you owe them by doing a job for them instead of giving them money
work off,I needed to work off some of that Mediterranean Stew before I got in the pool.,to pay someone what you owe them by doing a job for them instead of giving them money
work off,Maybe Malcolm's an absolute dynamo - or does he work off all his dynamism roaring around the diocese?,to pay someone what you owe them by doing a job for them instead of giving them money
work off,She generally works off her anger by going for a run.,to pay someone what you owe them by doing a job for them instead of giving them money
work off,They were forced to work off their debts.,to pay someone what you owe them by doing a job for them instead of giving them money
work on,"Don’t worry about that, I’m working on it.",used for saying that you are dealing with something
work on,He’ll have to work on getting fit before the game.,to try to influence someone
work on,We’ll have to work on Joey to find out what’s going on.,to try to influence someone
work out,An international peace plan has been worked out.,to solve a problem by considering the facts
work out,"But after a while he said thoughtfully, `Needs a little work out here.",to deal with a problem in a satisfactory way
work out,He works out at the local gym every day.,to do physical exercise as a way of keeping fit
work out,I can’t work him out.,to find a satisfactory way of doing something
work out,I can’t work out what to do.,to find a satisfactory way of doing something
work out,I guess maybe I saw Tyler as a fall-back plan in case things with Scott didn't work out.,to find a satisfactory way of doing something
work out,I was born in 1947: you work out my age.,to deal with a problem in a satisfactory way
work out,"If it doesn’t work out, you can always come back here.",to deal with a problem in a satisfactory way
work out,She was trying to work out how she was going to fit Sutherland's orders into her strange relationship with Wilshere.,to find a satisfactory way of doing something
work out,Taking the train works out more expensive than going by car.,to deal with a problem in a satisfactory way
work out,The exact details of the event haven’t been worked out yet.,to find a satisfactory way of doing something
work out,The mortgage works out at about £360 a month.,to add up to a particular amount
work out,Things worked out pretty well in the end.,"to be successful, or to end in a particular way"
work out,We haven’t worked out a date for the meeting.,to find a satisfactory way of doing something
work out,We’ve worked out our differences.,to find a satisfactory way of doing something
work out,What she couldn't work out was how Carol's cover had been blown.,to find a satisfactory way of doing something
work over,She'll make you do perfectly good work over again for some petty reason.,to injure someone severely by hitting them
work over,We should see what the charities are doing and give proper jobs to people to take that work over.,to injure someone severely by hitting them
work through,He needs to work through some of the guilt he’s feeling.,to deal with something such as a problem or a strong feeling by thinking and talking about it
work towards,Both countries are working towards peace in the region.,to do things that help you to make progress towards something that you want to achieve
work up,"Despite this acknowledgment, he didn't work up a sweat making his way through the labyrinth of the house.",to develop something
work up,"He worked his tongue in his mouth, desperately trying to work up some saliva.",to develop something
work up,I just can’t work up any enthusiasm for this trip.,to develop something
work up,I’d like you to work up the next set of guidelines.,to develop a particular feeling
work up,The girls laughingly commented that they had better start sleuthing and work up good appetites.,to develop something
work up,The kids had worked themselves up to a fever pitch of excitement.,to develop something
work up,We went for a long walk to work up an appetite.,to develop something
work up,"`I must say I can't work up any great enthusiasm for the cause,"" I said.",to develop something
work up to,Are you working up to telling me that you can’t pay?,to develop or to increase and reach a particular level
work up to,The plane’s engines were working up to take-off power.,to develop or to increase and reach a particular level
worm out of,I eventually managed to worm a few details out of him.,to gradually get information from someone who does not want to give it to you
wrap around,Each cake has a bright red ribbon wrapped round it.,to put something around something else
wrap around,He grabbed a towel to wrap round his waist.,to put something around something else
wrap around,We see couples with their arms wrapped round each other.,to put something around something else
wrap round,Each cake has a bright red ribbon wrapped round it.,to put something around something else
wrap round,He grabbed a towel to wrap round his waist.,to put something around something else
wrap round,We see couples with their arms wrapped round each other.,to put something around something else
wrap up,"""I have a towel of sorts to dry off with and a rug to wrap up in.",to wear enough clothes to keep you warm
wrap up,I could hear my mother telling me to wrap up warm.,to put warm clothes on a child
wrap up,"Keep it entertaining, plenty of action and wrap up all the loose ends in fifty minutes.",to achieve something such as a victory or an agreement
wrap up,Keep the baby well wrapped up in the early weeks.,to achieve something such as a victory or an agreement
wrap up,Negotiators are confident they can wrap up a deal soon.,same as wrap
wrap up,Now I must excuse myself for a moment and go and wrap up warmly.,same as wrap
wrap up,Perhaps Pollard would recommend him regardless; or perhaps the implication was for Walsh to wrap up the one or forget the other.,to finish something
wrap up,She’s so wrapped up in herself that she rarely calls me.,same as wrap
wrap up,"The DA's office may move slowly sometimes, but on this one they'll be trying for a fast wrap-up.",to finish something
wrap up,We ought to wrap up this meeting and get back to work.,to finish something
wrap up,We’ve just finished wrapping up Susie’s birthday present.,same as wrap
wrestle with,He has had to wrestle with accusations of corruption.,to try to deal with or solve a difficult problem
write away,We wrote away for a brochure.,same as write off
write back,"Method, then, becomes a way to write back against colonial perspectives.",to send a reply to someone who has sent you a letter
write back,We wrote back saying we would be delighted to come.,to send a reply to someone who has sent you a letter
write down,"All the same, I'd be glad if you could write down the names and places while they're fresh in your memory.",to write something on a piece of paper
write down,"As soon as I have an idea, I write it down.",to write something on a piece of paper
write down,I am going to write down all the information we have gathered.,to write something on a piece of paper
write down,It wasn't only the doctor's delivery that made it hard to write down what he said.,to write something on a piece of paper
write down,Write down seven words that describe how you feel.,to write something on a piece of paper
write in,But then all those people out here know I don't talk what I write in their letters for them.,"to write to an organization, for example because you want information about something"
write in,"I would not want anyone to read my innermost thoughts, which is how I like to think of what I write in my journal.","to write to an organization, for example because you want information about something"
write in,I wrote in to the programme to ask for more details.,"to write to an organization, for example because you want information about something"
write in,It is because I have seen him that I have to write in my journal.,"to write to an organization, for example because you want information about something"
write in,She carried her journal about but never had time to write in it.,to add words or numbers that are missing from something
write in,Write in the letter that is missing from each word.,"to write to an organization, for example because you want information about something"
write into,"Into the mid-1960s, racial discrimination was written into our laws.",to include a particular feature in an official document such as a contract
write into,"It also writes into law the circumstances in which embryos can be screened for genetic disease, or for their suitability as tissue donors for sick siblings.",to include a particular feature in an official document such as a contract
write into,Measures to protect journalists' sources will also be written into the new law.,to include a particular feature in an official document such as a contract
write into,Only last week was it finally written into law.,to include a particular feature in an official document such as a contract
write into,The Prime Minister suggested that those pushing hard for a new system of regulation to be written into law were missing the main point.,to include a particular feature in an official document such as a contract
write into,The right to withdraw is written into the agreement.,to include a particular feature in an official document such as a contract
write into,The seemingly interminable struggle to get Kyoto written into international law should be avoidable for the new agreement.,to include a particular feature in an official document such as a contract
write into,This would write into law the Government's pledge to halve the deficit in four years.,to include a particular feature in an official document such as a contract
write off,"""The insurance company wants to know if the hull is a write-off or if it can be salvaged.",to accept that you will not receive money that you hoped someone would give back
write off,After five years you can write the equipment off for tax.,to say officially that someone does not have to pay an amount of money
write off,"Consequently, unless she made some excuse and left the house as soon as Edna arrived, Tuesday and Friday mornings were a write-off.",to write to an organization asking for something
write off,"Expects to be there for two weeks, then take a climbing holiday in the Hindu Kush Tax write-off sort of thing.",to say officially that someone does not have to pay an amount of money
write off,He came out looking very happy and said to Taid that they could write off to Lincolnshire for the hay now.,to say officially that someone does not have to pay an amount of money
write off,He thought the teachers had written him off.,to write to an organization asking for something
write off,"His car was a write-off but he was undamaged, apart from a broken arm.",to write to an organization asking for something
write off,The US government agreed to write off debts of $170 billion.,to say officially that someone does not have to pay an amount of money
write off,The £500 they have spent will have to be written off.,to say officially that someone does not have to pay an amount of money
write off,"Then it occurred to her that she might not have to write off this day after all, but she had to act quickly.",to write to an organization asking for something
